Source,Target
26,47
141,183
60,176
196,72
84,62
94,10
109,210
102,205
165,192
62,211
63,163
182,162
42,62
70,136
185,49
63,137
169,22
160,45
126,86
90,126
192,42
162,164
130,196
211,8
132,105
64,20
90,130
73,202
168,105
181,105
84,188
208,192
169,83
55,56
106,86
157,16
66,48
165,201
42,132
196,198
120,198
8,181
196,123
156,168
165,211
155,38
72,41
60,20
92,180
126,208
130,44
161,170
157,36
107,19
176,199
13,13
115,115
137,8
107,41
64,107
120,120
127,153
113,48
193,120
46,145
157,146
99,108
48,68
124,124
175,202
84,42
165,121
107,123
201,121
60,19
2,122
48,176
61,18
86,26
119,40
42,179
201,202
198,36
2,168
193,113
142,58
32,202
175,211
45,116
95,126
178,10
8,163
32,160
204,180
147,147
75,75
39,161
73,175
196,210
86,59
85,30
9,29
12,62
171,15
100,169
42,196
15,57
108,32
179,209
99,19
9,211
204,92
209,47
45,109
2,82
86,209
97,80
55,61
8,170
118,5
187,109
202,6
10,59
86,203
87,59
91,188
170,9
166,115
162,51
112,68
202,202
170,170
118,209
132,196
87,168
157,204
168,168
165,32
33,93
87,134
48,19
201,32
25,190
171,171
154,97
201,175
107,72
204,204
122,105
168,212
160,209
176,20
177,154
91,159
116,4
53,173
201,108
205,171
130,48
44,162
126,204
108,98
100,71
174,48
110,147
34,136
101,198
86,47
158,23
65,206
23,130
70,34
199,127
170,26
137,211
51,97
17,81
145,36
192,188
52,26
49,168
77,183
10,203
196,41
175,121
59,120
2,181
168,181
55,130
50,16
187,10
3,29
211,121
10,90
60,64
19,20
98,80
12,84
63,211
50,68
44,18
68,23
157,1
142,160
39,170
149,43
200,103
101,118
9,26
45,45
66,82
138,42
134,156
86,145
195,23
99,32
175,6
181,95
99,6
211,126
104,68
55,18
150,86
165,6
208,41
45,207
166,21
130,2
72,208
190,120
196,107
88,83
89,210
99,202
68,36
178,199
114,115
45,157
192,138
44,61
154,80
90,115
193,86
107,196
196,37
119,119
196,174
184,99
159,86
157,98
59,203
10,86
23,56
176,178
184,73
108,192
205,57
25,120
174,210
175,192
182,5
179,133
32,6
154,177
19,95
132,198
14,5
174,158
169,181
123,19
52,29
196,44
114,169
173,30
126,153
39,29
192,93
112,50
84,91
160,118
48,107
87,212
177,152
69,154
154,51
187,90
53,85
89,198
49,212
205,102
130,66
44,208
104,48
162,28
39,26
117,117
169,207
55,23
132,122
147,77
35,80
169,88
201,184
168,122
91,150
118,182
89,37
142,89
58,182
87,203
33,17
192,6
189,89
124,76
170,3
195,174
63,8
104,55
126,46
32,121
211,26
90,118
155,198
52,9
101,155
70,76
3,26
38,198
156,156
23,61
45,10
173,85
2,113
128,86
77,77
132,179
169,168
108,6
192,140
42,91
39,8
73,6
96,157
161,3
3,3
64,19
170,211
138,140
157,96
199,185
64,176
132,118
52,211
142,142
188,140
108,73
68,158
140,111
165,202
51,80
129,40
186,171
168,134
184,32
174,23
91,86
208,138
48,158
184,6
48,23
3,8
53,30
128,159
184,108
172,55
42,118
174,104
86,87
8,44
198,198
183,125
69,152
91,62
55,44
90,208
139,114
209,198
89,196
99,192
62,8
22,197
8,126
127,185
50,50
161,29
118,198
76,136
186,15
198,174
128,150
52,12
49,134
77,141
127,135
32,211
52,161
57,205
8,211
157,108
45,210
165,99
28,164
176,101
8,162
32,175
146,98
182,182
132,168
36,36
205,186
201,99
169,10
78,76
170,1
158,36
114,116
45,160
14,182
113,82
76,34
99,175
130,208
101,38
170,204
147,110
161,8
150,106
102,15
169,71
158,198
115,21
73,192
32,192
192,121
165,108
109,90
169,105
46,13
24,67
169,132
109,116
170,8
144,11
166,114
2,105
130,82
97,45
199,135
50,36
48,60
135,49
157,68
138,111
211,204
89,174
170,96
176,19
73,211
23,18
142,182
127,199
181,181
8,182
9,8
205,15
195,158
86,46
141,125
211,163
170,29
98,37
210,116
208,140
39,3
177,69
201,192
161,26
87,156
102,57
85,95
209,26
33,192
123,99
73,121
198,196
12,91
42,140
118,179
77,125
196,99
182,189
12,42
4,95
8,26
186,57
209,196
182,44
116,95
79,97
185,135
118,196
90,107
201,211
138,188
126,13
198,37
96,96
181,122
205,205
2,169
87,86
199,199
39,211
50,157
160,196
5,182
2,88
211,192
48,82
184,202
171,205
91,128
157,27
2,114
178,101
104,158
90,72
101,90
168,156
22,107
114,114
202,192
109,10
96,1
172,130
182,89
134,168
107,197
112,36
127,49
52,170
126,145
32,73
152,11
62,204
112,16
2,83
157,157
174,68
58,189
90,41
3,181
209,191
192,17
96,204
99,73
182,62
80,37
48,133
12,12
158,55
165,184
170,181
48,20
107,208
2,48
108,175
56,61
29,8
48,64
119,129
23,44
114,21
65,171
171,102
13,86
169,122
176,107
15,205
122,181
146,108
108,121
113,66
68,55
107,20
160,132
198,145
12,188
44,72
204,117
60,107
164,51
180,117
114,88
86,113
195,55
42,209
179,196
59,198
7,114
97,97
7,131
154,152
208,208
192,111
112,157
37,210
108,211
181,3
118,14
68,16
207,10
208,111
49,87
48,179
144,152
170,157
44,41
123,151
191,68
132,209
114,83
128,106
52,8
2,2
29,26
177,177
59,86
208,42
49,156
195,104
160,198
22,132
108,202
127,126
90,44
209,68
165,73
8,3
193,25
104,23
174,37
69,177
201,73
169,169
62,188
158,145
99,211
28,51
86,10
2,132
130,113
39,9
58,89
161,12
211,6
130,107
143,31
95,90
91,106
54,146
192,208
199,49
10,87
186,102
201,6
184,211
79,45
16,36
160,179
196,196
199,101
62,62
42,160
94,178
195,4
48,48
86,13
17,93
130,72
202,211
121,6
42,111
92,117
3,9
24,130
195,48
19,181
86,86
95,208
107,99
48,66
188,111
2,66
184,192
174,55
9,12
206,171
160,160
130,41
13,46
169,2
48,55
184,175
202,121
13,145
156,212
130,67
3,211
165,175
115,118
172,23
193,190
150,159
107,44
52,3
116,195
8,204
198,38
179,198
110,77
208,188
134,212
195,95
161,211
56,44
186,205
142,189
198,210
99,121
56,18
204,1
42,45
182,14
196,208
101,115
90,196
132,181
42,188
39,52
169,45
196,19
211,29
137,163
42,198
184,121
161,9
62,126
171,57
195,68
159,106
