Id,Label
1,Joh. 11
2,II Tim. 2
3,I Tim. 2
4,Rom. 8
5,Exod. 34
6,Exod. 7
7,Jes. 3
8,Matth. 24
9,Hebr. 9
10,Luk. 10
11,Jerem. 45
12,I Kor. 3
13,Joh. 2
14,Joh. 10
15,Luk. 21
16,Kol. 2
17,Jerem. 18
18,Hebr. 12
19,Rom. 9
20,Joh. 4
21,Rom. 6
22,Psal. 136
23,Matth. 20
24,Jes. 66
25,I Kor. 12
26,I Kor. 13
27,Exod. 4
28,Matth. 22
29,Jes. 11
30,Job. 12
31,Jerem. 9
32,Jes. 4
33,Joh. 12
34,Psal. 35
35,Gen. 1
36,Eph. 1
37,Luk. 12
38,Mark. 9
39,Rom. 1
40,Luk. 3
41,Gal. 5
42,Gen. 4
43,Deut. 24
44,Luk. 1
45,Matth. 13
46,I Kor. 5
47,Job. 3
48,Joh. 1
49,Matth. 5
50,II Tim. 3
51,Psal. 21
52,Num. 10
53,Ezech. 36
54,Jes. 54
55,Eph. 5
56,II Tim. 1
57,Deut. 32
58,Joh. 20
59,I Kor. 1
60,Prov. 1
61,I Kor. 9
62,Hebr. 4
63,Jerem. 15
64,Gen. 49
65,Psal. 76
66,Exod. 29
67,Matth. 23
68,Phil. 3
69,Matth. 6
70,Luk. 8
71,Psal. 17
72,Jes. 5
73,Psal. 103
74,Psal. 33
75,Phil. 2
76,Dan. 9
77,Job. 1
78,Act. 4
79,Gen. 2
80,Job. 8
81,Tit. 3
82,Ezech. 1
83,Jerem. 25
84,Gen. 3
85,Psal. 67
86,Jerem. 31
87,Deut. 15
88,Hebr. 5
89,I Tim. 3
90,Deut. 18
91,Luk. 16
92,"Psal, 21"
93,Num. 16
94,I Kor. 6
95,Psal. 38
96,Matth. 10
97,Joh. 5
98,Matth. 0
99,Psal. 45
100,Psal. 4
101,Jes. 6
102,Hebr. 6
103,Hebr. 1
104,I Kor. 7
105,Matth. 3
106,Jerem. 13
107,Jes. 1
108,Deut. 12
109,Joh. 8
110,Gen. 19
111,Deut. 19
112,Luk. 6
113,Exod. 3
114,Act. 2
115,Matth. 21
116,Matth. 4
117,Psal. 78
118,Gen. 17
119,Eph. 4
120,Luk. 13
121,Jes. 9
122,Luk. 18
123,Deut. 16
124,Ezech. 16
125,Matth. 26
126,Kol. 1
127,Act. 3
128,Prov. 20
129,I Kor. 4
130,Gen. 18
131,Psal. 9
132,Joh. 14
133,Matth. 12
134,Luk. 9
135,Prov. 3
136,Gal. 6
137,Lev. 26
138,Jes. 7
139,Phil. 1
140,Jes. 58
141,I Petr. 2
142,Gen. 12
143,Hebr. 7
144,Psal. 144
145,Luk. 2
146,Psal. 74
147,Job. 11
148,Psal. 128
149,Psal. 2
150,II Kön. 17
151,Luk. 14
152,Psal. 43
153,Eph. 3
154,Joh. 3
155,Exod. 15
156,Act. 7
157,Gen. 20
158,Jerem. 34
159,Matth. 11
160,Act. 14
161,Act. 13
162,Luk. 11
163,Jerem. 3
164,Psal. 44
165,Num. 18
166,Psal. 134
167,Jerem. 2
168,Rom. 11
169,Jes. 40
170,Jes. 53
171,Eph. 2
172,Ezech. 7
173,Hebr. 8
174,Matth. 15
175,Kol. 3
176,Prov. 8
177,Psal. 51
178,Matth. 18
179,I Kor. 15
180,Mark. 4
181,Psal. 37
182,Psal. 18
183,I Tim. 1
184,Psal. 94
185,I Petr. 4
186,Job. 14
187,Matth. 25
188,Matth. 7
189,Gal. 4
